#,Conta de origem,Data/Hora (UTC),Data/Hora (São Paulo),ID do Post,Conteúdo,Tradução (PT-BR),Síntese (1 linha),Link do Post,Mídia,Categoria,Imagem
12,@dair_ai,2026-08-12 21:00:15,2026-08-12 18:00:15,2087645363255828742,"New research from Microsoft Research makes the action policy the measured object. 8 models, 6 parallel benchmarks, 41 languages, 2.38M rollouts.","Nova pesquisa da Microsoft Research torna a política de ação o objeto medido. 8 modelos, 6 benchmarks paralelos, 41 idiomas, 2,38M de rollouts.",Pesquisa da Microsoft mostra que políticas de ação de modelos de fronteira mantêm 71-73% de consistência entre 41 idiomas.,https://x.com/dair_ai/status/2087645363255828742,Foto,ai,
13,@leerob,2026-08-12 20:39:32,2026-08-12 17:39:32,2087640149442404584,"We've released the model card for Grok 4.6!","Lançamos o model card do Grok 4.6!","Lee Robinson anuncia o model card oficial do Grok 4.6 com detalhes de evals, coding e segurança.",https://x.com/leerob/status/2087640149442404584,Foto,ai,
14,@claudeai,2026-08-12 20:20:07,2026-08-12 17:20:07,2087635262390026525,"Your Claude in Chrome sessions now carry over to desktop, web, and mobile. Conversations are saved, and your skills and connectors work in the browser.","Suas sessões do Claude no Chrome agora são transferidas para desktop, web e mobile. As conversas são salvas, e suas skills e conectores funcionam no navegador.","Claude anuncia sincronização de sessões do Chrome para desktop, web e mobile.",https://x.com/claudeai/status/2087635262390026525,Vídeo,ai,
15,@theo,2026-08-12 19:42:41,2026-08-12 16:42:41,2087625841069248968,"Okay fine, AI definitely wasted a bunch of water here","Ok, tudo bem, a IA definitivamente desperdiçou um monte de água aqui",Comentário irônico sobre fazendeiro que perdeu plantação seguindo app de IA.,https://x.com/theo/status/2087625841069248968,Nenhuma,ai,
16,@levelsio,2026-08-12 19:32:32,2026-08-12 16:32:32,2087623287681470823,Looks like this,Parece com isso,Demonstra resultado visual do switch de ideasai.com para o Grok 4.6 da xAI.,https://x.com/levelsio/status/2087623287681470823,Vídeo,ai,
17,@TheRundownAI,2026-08-12 19:18:21,2026-08-12 16:18:21,2087619716537885164,"Kellanova, the company that makes Pringles in Europe, spent four years and roughly $5M working with Siemens to build a real time digital twin of its potato chip dough at a factory in Poland.","A Kellanova, empresa que fabrica Pringles na Europa, gastou quatro anos e cerca de US$ 5 milhões trabalhando com a Siemens para construir um digital twin em tempo real da massa de batata chips em uma fábrica na Polônia.","Kellanova usa digital twin + ML para otimizar produção de Pringles: -13% desperdício, -7% energia, +10% capacidade.",https://x.com/TheRundownAI/status/2087619716537885164,Vídeo,ai,
18,@hwchase17,2026-08-12 18:30:15,2026-08-12 15:30:15,2087607611097264579,"Build a social media agent. This Managed Deep Agent scans Hacker News and optional X, drafts three posts, saves them to durable memory, and sends them to Slack.","Construa um agente de mídia social. Este Managed Deep Agent varre o Hacker News e opcionalmente o X, elabora três posts, salva-os na memória durável e envia para o Slack.","Tutorial de como construir um agente de mídia social com Managed Deep Agent que varre HN/X, rascunha posts e envia para o Slack.",https://x.com/hwchase17/status/2087607611097264579,Foto,ai,https://pbs.twimg.com/media/HPisCrMawAEKHKa.png
19,@elonmusk,2026-08-12 18:09:49,2026-08-12 15:09:49,2087602469778166195,Try out Grok @Bot,Experimente o Grok @Bot,Elon Musk incentiva a experimentação do Grok Bot.,https://x.com/elonmusk/status/2087602469778166195,Nenhuma,ai,
20,@elonmusk,2026-08-12 18:07:06,2026-08-12 15:07:06,2087601785833951705,"Try out Grok 4.6!

Double your tokens for next 7 days.","Experimente o Grok 4.6!

Dobre seus tokens pelos próximos 7 dias.",Anúncio do Grok 4.6 com o dobro de tokens por uma semana.,https://x.com/elonmusk/status/2087601785833951705,Nenhuma,ai,
21,@dair_ai,2026-08-12 18:02:02,2026-08-12 15:02:02,2087600513441546589,"Four small architecture decisions can cost up to 47% of a model's long-context performance.","Quatro pequenas decisões de arquitetura podem custar até 47% do desempenho de contexto longo de um modelo.","Pesquisa revela que 4 decisões arquiteturais podem reduzir em até 47% o desempenho de long-context.",https://x.com/dair_ai/status/2087600513441546589,Foto,ai,https://pbs.twimg.com/media/HPilmiJbgAAfTrI.jpg
22,@levelsio,2026-08-12 17:53:15,2026-08-12 14:53:15,2087598300748743119,Ok fully nutritionally complete now if you add eggs :D,"Ok, agora nutricionalmente completo se adicionar ovos :D",levelsio afirma que sua refeição fica nutricionalmente completa ao adicionar ovos.,https://x.com/levelsio/status/2087598300748743119,Foto,ai,https://pbs.twimg.com/media/HPijjppXcAEYeRM.jpg
23,@AmandaAskell,2026-08-12 17:48:36,2026-08-12 14:48:36,2087597131800674495,"When I started playing Skyrim, I quickly realized you can make a lot of progress without doing any killing.","Quando comecei a jogar Skyrim, rapidamente percebi que se pode fazer muito progresso sem matar ninguém.","Amanda Askell relata sua experiência pacífica jogando Skyrim, evitando violência e adotando órfãos.",https://x.com/AmandaAskell/status/2087597131800674495,Nenhuma,ai,
24,@elonmusk,2026-08-12 17:38:49,2026-08-12 14:38:49,2087594669459001801,Try Grok 4.6 on tough real-world tasks!,Experimente o Grok 4.6 em tarefas difíceis do mundo real!,Elon promove o Grok 4.6 para tarefas reais desafiadoras.,https://x.com/elonmusk/status/2087594669459001801,Nenhuma,ai,
